cart_id,customer_id,product_id,quantity,date,regular_price,sale_price
1000,103,408,2,2025-01-01,25.72,
1000,103,413,3,2025-01-01,31.36,
1000,103,269,2,2025-01-01,47.23,
1000,103,343,2,2025-01-01,146.19,124.95
1000,103,152,5,2025-01-01,93.09,80.75
1001,386,489,1,2025-01-01,136.85,77.83
1001,386,369,2,2025-01-01,87.32,41.81
1001,386,289,2,2025-01-01,87.71,
1002,296,228,1,2025-01-01,7.27,
1002,296,180,1,2025-01-01,5.8,
1002,296,161,5,2025-01-01,139.31,61.65
1002,296,134,1,2025-01-01,110.79,
1002,296,317,2,2025-01-01,108.42,
1002,296,479,1,2025-01-01,42.13,22.95
1002,296,151,1,2025-01-01,9.56,
1003,96,439,5,2025-01-01,95.53,80.94
1003,96,332,5,2025-01-01,51.11,40.17
1003,96,417,1,2025-01-01,28.88,
1003,96,414,1,2025-01-01,22.38,
1004,374,486,1,2025-01-01,40.8,
1004,374,323,2,2025-01-01,46.3,27.56
1004,374,259,2,2025-01-01,26.01,
1005,198,223,3,2025-01-01,18.09,
1005,198,298,4,2025-01-01,129.46,102.26
1005,198,250,1,2025-01-01,105.19,45.4
1005,198,159,3,2025-01-01,30.37,
1005,198,136,1,2025-01-01,149.46,
1006,160,198,1,2025-01-01,135.29,121.14
1006,160,262,2,2025-01-01,49.28,
1006,160,132,5,2025-01-01,108.27,79.83
1006,160,376,5,2025-01-01,97.27,58.85
1006,160,134,2,2025-01-01,76.42,41.17
1006,160,401,5,2025-01-01,149.21,113.43
1006,160,355,4,2025-01-01,60.84,
1006,160,422,2,2025-01-01,62.23,
1007,360,372,2,2025-01-01,41.85,
1008,104,470,3,2025-01-01,106.79,
1008,104,252,1,2025-01-01,59.46,36.32
1008,104,157,1,2025-01-01,147.37,
1008,104,153,1,2025-01-01,10.42,
1008,104,449,4,2025-01-01,125.04,52.19
1008,104,223,2,2025-01-01,110.28,
1008,104,157,2,2025-01-01,62.83,
1008,104,378,1,2025-01-01,8.68,
1009,127,336,1,2025-01-01,84.64,
1009,127,175,2,2025-01-01,143.46,89.35
1009,127,319,2,2025-01-01,22.42,
1010,69,199,1,2025-01-01,115.69,
1010,69,109,1,2025-01-01,67.91,
1010,69,195,3,2025-01-01,7.22,
1011,257,401,4,2025-01-01,99.47,75.9
1011,257,436,1,2025-01-01,18.69,
1011,257,213,3,2025-01-01,103.83,79.91
1011,257,195,6,2025-01-01,45.9,24.08
1011,257,468,1,2025-01-01,139.96,
1011,257,183,3,2025-01-01,59.77,
1011,257,383,3,2025-01-01,134.85,120.63
1011,257,208,7,2025-01-01,70.02,51.51
1011,257,267,9,2025-01-01,111.87,61.2
1011,257,104,1,2025-01-01,124.17,
1012,29,281,5,2025-01-01,17.11,
1012,29,272,2,2025-01-01,52.89,
1012,29,460,1,2025-01-01,72.96,61.33
1013,423,326,4,2025-01-01,145.63,66.18
1013,423,242,2,2025-01-01,29.1,
1013,423,111,2,2025-01-01,89.73,
1013,423,263,2,2025-01-01,62.21,45.55
1013,423,311,5,2025-01-01,89.63,37.0
1013,423,109,3,2025-01-01,24.31,10.45
1014,312,276,3,2025-01-01,61.98,
1014,312,264,7,2025-01-01,44.64,20.88
1014,312,359,2,2025-01-01,39.96,30.94
1014,312,447,1,2025-01-01,102.4,
1014,312,217,1,2025-01-01,8.22,
1015,259,165,1,2025-01-01,114.49,
1015,259,407,5,2025-01-01,97.31,
1015,259,429,4,2025-01-01,137.02,87.45
1015,259,304,2,2025-01-01,11.65,
1015,259,473,2,2025-01-01,89.05,56.22
1015,259,150,4,2025-01-01,105.99,49.06
1016,403,177,2,2025-01-01,56.62,
1016,403,206,2,2025-01-01,51.63,34.05
1016,403,212,2,2025-01-01,45.15,
1017,355,464,2,2025-01-01,58.49,
1017,355,373,3,2025-01-01,26.42,14.7
1018,294,244,1,2025-01-01,51.7,38.06
1018,294,133,2,2025-01-01,73.73,42.44
1018,294,414,4,2025-01-01,86.85,63.51
1019,365,449,1,2025-01-01,57.98,
1019,365,342,1,2025-01-01,46.34,20.93
1020,31,293,4,2025-01-02,29.78,
1020,31,425,2,2025-01-02,45.6,
1020,31,481,4,2025-01-02,111.76,61.06
1021,139,364,2,2025-01-02,104.26,86.6
1021,139,404,2,2025-01-02,64.72,
1021,139,175,3,2025-01-02,140.28,
1021,139,438,6,2025-01-02,109.63,55.83
1021,139,188,2,2025-01-02,57.03,
1022,402,233,4,2025-01-02,135.44,85.09
1022,402,114,1,2025-01-02,110.93,
1022,402,196,3,2025-01-02,88.11,
1022,402,104,3,2025-01-02,34.66,
1022,402,283,2,2025-01-02,124.08,59.16
1023,15,110,3,2025-01-02,41.51,
1023,15,445,2,2025-01-02,37.97,
1023,15,210,2,2025-01-02,90.0,
1023,15,392,3,2025-01-02,138.22,
1024,328,366,1,2025-01-02,20.12,
1024,328,281,2,2025-01-02,147.8,
1024,328,301,3,2025-01-02,50.16,29.9
1025,436,124,3,2025-01-02,138.18,122.09
1025,436,148,3,2025-01-02,137.65,83.93
1025,436,288,1,2025-01-02,144.36,100.0
1025,436,314,1,2025-01-02,48.44,
1025,436,404,2,2025-01-02,55.66,
1026,429,230,2,2025-01-02,115.98,84.99
1026,429,277,2,2025-01-02,98.38,87.29
1026,429,348,3,2025-01-02,85.0,68.17
1026,429,177,2,2025-01-02,99.65,84.73
1026,429,135,8,2025-01-02,63.93,54.76
1026,429,294,4,2025-01-02,53.7,
1027,471,257,3,2025-01-02,129.85,53.59
1027,471,458,4,2025-01-02,66.66,51.04
1028,201,440,1,2025-01-02,7.67,
1028,201,175,3,2025-01-02,63.76,
1028,201,412,1,2025-01-02,6.59,
1028,201,289,2,2025-01-02,111.17,64.86
1029,122,251,5,2025-01-02,126.38,55.89
1029,122,326,3,2025-01-02,9.52,
1029,122,228,4,2025-01-02,95.38,69.42
1029,122,453,4,2025-01-02,68.05,33.38
1030,12,363,3,2025-01-02,83.58,
1030,12,188,3,2025-01-02,97.4,
1030,12,490,5,2025-01-02,102.14,61.88
1031,270,322,1,2025-01-02,66.16,
1031,270,287,3,2025-01-02,125.19,75.35
1032,301,448,2,2025-01-02,50.72,
1032,301,410,3,2025-01-02,66.89,
1033,227,458,9,2025-01-02,116.24,76.73
1033,227,172,5,2025-01-02,72.76,34.46
1034,399,151,2,2025-01-02,141.99,84.24
1034,399,409,1,2025-01-02,63.23,
1034,399,358,2,2025-01-02,38.45,30.37
1034,399,340,4,2025-01-02,80.15,
1034,399,161,1,2025-01-02,62.46,
1035,145,128,2,2025-01-02,89.11,41.1
1035,145,137,6,2025-01-02,17.61,
1035,145,383,1,2025-01-02,109.9,94.46
1036,453,315,2,2025-01-02,130.35,
1036,453,269,5,2025-01-02,126.37,
1036,453,259,4,2025-01-02,106.35,48.83
1036,453,323,3,2025-01-02,112.81,55.39
1036,453,459,1,2025-01-02,52.33,
1037,223,434,3,2025-01-02,46.08,31.51
1038,222,309,3,2025-01-02,13.4,
1038,222,178,5,2025-01-02,114.95,102.18
1038,222,325,2,2025-01-02,5.15,
1038,222,256,3,2025-01-02,28.73,
1038,222,183,1,2025-01-02,126.79,
1039,22,114,6,2025-01-02,50.23,
1039,22,373,2,2025-01-02,130.88,
1039,22,178,4,2025-01-02,130.95,
1040,27,335,4,2025-01-03,22.01,
1040,27,485,2,2025-01-03,85.97,70.46
1040,27,194,3,2025-01-03,71.01,61.34
1040,27,366,3,2025-01-03,143.13,
1041,214,324,4,2025-01-03,74.94,54.48
1041,214,458,2,2025-01-03,55.84,48.06
1042,90,417,6,2025-01-03,140.75,88.58
1042,90,489,2,2025-01-03,100.82,
1042,90,111,3,2025-01-03,81.33,
1042,90,221,1,2025-01-03,28.13,
1043,147,230,3,2025-01-03,149.47,
1043,147,490,1,2025-01-03,63.47,43.85
1043,147,251,4,2025-01-03,112.69,81.93
1043,147,361,3,2025-01-03,90.27,63.39
1043,147,117,3,2025-01-03,57.08,
1044,40,415,2,2025-01-03,15.02,
1044,40,330,2,2025-01-03,89.02,
1044,40,165,1,2025-01-03,61.71,
1044,40,263,2,2025-01-03,90.32,
1044,40,192,3,2025-01-03,15.66,
1044,40,383,3,2025-01-03,125.19,97.1
1045,121,100,2,2025-01-03,148.07,116.15
1045,121,424,1,2025-01-03,70.57,
1045,121,375,1,2025-01-03,89.78,
1045,121,277,4,2025-01-03,143.01,66.65
1045,121,333,1,2025-01-03,82.18,68.51
